242641332	d
406837637	a
286977106	a
620162953	a
367932654	a
143053056	a
105050227	a
963981067	a
279089944	a
538305135	a
260567394	a
15491840	a
60794281	a
105604209	a
331455598	a
245430300	a
250855828	a
237100169	a
485320575	a
16103311	a
219705602	a
538454626	d
115841495	a
967229785	s
15959180	a
72464305	a
13598462	a
65664359	a
286880213	a
569013116	s
474325509	a
703519854	a
854194363	a
224393582	a
241234928	a
635521286	a
330459560	a
325995260	a
860760374	a
469189136	a
100597465	a
42056283	a
22960394	a
131625226	a
176944714	a
276641912	a
338778995	a
367905422	d
52396329	a
147501168	a
52576622	a
517746489	a
198297781	a
21401187	a
270884908	a
120524584	a
535700239	a
16259228	a
144459338	a
290192287	a
362975087	a
800581992	a
1187070018	s
892111028	a
23722027	a
720162896	a
315732598	a
451652218	a
976534670	a
41652472	a
36417257	a
48866020	a
242044992	a
420501578	a
1013801826	s
1177546118	a
22388735	a
540631722	d
181292375	a
464514282	a
482503271	a
403604332	a
28259132	a
334392985	a
80154070	a
282211632	a
416809666	d
452706673	a
243925550	a
891395209	a
84194378	a
613620598	a
556188501	a
534703903	a
70602158	a
498982665	a
57777146	a
16480833	d
371052551	a
348427744	a
48789726	a
206998334	a
115680942	a
337136261	a
195231462	a
441903775	a
316814285	a
16336478	a
880264550	a
300205489	a
1023255205	s
748520491	a
386051467	a
15432028	a
359454214	a
12014232	a
315145379	a
267327836	a
759585452	d
566344406	a
109665242	d
926192252	a
37699339	a
90772822	a
280416737	a
331592785	a
335240007	a
289738296	a
893132959	s
989392867	a
838707284	a
299354235	a
915414708	a
393790948	a
377010427	a
884508032	a
274682041	a
30552342	a
918441192	a
402829581	a
378531853	a
342864274	a
562189018	a
17428378	a
858125712	a
371857745	a
631847736	a
569946929	a
577460870	a
74933933	a
99755826	a
411583695	a
375081240	a
440737613	a
419787716	a
177412338	a
44469222	a
35233895	a
245668218	a
73717434	a
533078805	a
19110210	a
619235115	a
605103650	a
185448870	a
425664065	a
437767788	a
262174814	a
53619605	a
115302731	a
22030307	a
15972765	a
32390193	a
224118038	a
94219721	a
267925012	a
33972168	a
866828786	a
98738595	a
847955538	a
477027715	a
388925361	a
468591875	a
50294799	a
49597268	a
832647164	a
279127413	a
459022091	a
455093636	a
30372129	a
31904996	a
419986066	a
95943579	a
543288950	a
141276020	a
287867601	a
636133316	d
380811166	a
51589167	d
24932783	a
24851063	a
136039049	a
840380725	a
25590043	a
401971800	a
136039042	a
342293508	a
428333	a
234149479	a
219867889	a
763482764	a
180111406	a
361194587	a
132997559	a
922139881	a
224071381	d
131976397	a
185711203	a
560294989	a
25004942	a
164196433	a
24353445	a
263137207	a
535540439	a
581283282	d
772891087	a
61349745	a
973319796	a
267924766	a
1022298493	s
1084339350	a
537713621	a
545152794	a
757135964	a
22849467	a
606796698	a
446363434	a
299288122	a
17504545	a
73657661	a
766258429	a
389840436	a
317471912	a
989294203	a
18035221	a
226761671	a
389354867	a
548314265	a
712258171	a
142197631	s
167230176	d
131018989	a
15935028	a
268866612	a
45775313	a
267900400	a
243975557	a
88689345	a
918335966	s
597553771	a
16616476	a
528559165	a
816401354	a
923983849	a
477138947	s
803172829	a
401638876	a
20606683	a
305059732	a
253008607	a
912583795	a
119545647	a
294084827	a
734313128	a
386767657	a
287740641	a
414939136	a
444060770	a
353875030	a
990937410	s
156405743	a
596834295	a
149607926	a
17894427	a
486871879	a
424323431	a
492389369	a
916818504	a
58710467	a
254138089	a
405548207	a
550820959	a
208127105	a
485875126	a
853894182	a
278322313	a
634229093	a
488596121	a
44537636	a
562398735	a
607480778	s
282423911	a
490603892	a
542545873	a
29110336	a
575650876	a
344786390	a
228710413	a
253502887	a
219120167	a
244571847	a
526574248	a
205013225	a
103608000	a
137188936	a
350533075	a
141642275	a
134950270	a
246419265	a
16456035	a
316783560	a
196742688	a
950738846	a
228456712	d
991132309	s
123521611	a
268023872	a
33615866	a
301905578	d
115493849	a
343417049	a
15249499	a
